Com,4
Node,573
SN,2428-0573
Firmware,8.00
Num Channels,4
Sample Rate,1 sample per 10 sec
Date (GMT),13/05/2014 07:56:50
Time (GMT),07:56:46:261


Calibration Coefficients
Channel,1,Slope,0.200373,Offset,-478.49,Units,µStrain
Channel,2,Slope,0.198525,Offset,-465.343,Units,µStrain
Channel,3,Slope,0.199383,Offset,-413.72,Units,µStrain
Channel,8,Slope,0.117188,Offset,-67.84,Units,°C

Timestamp (GMT),Timer Tick,Channel 1,Channel 2,Channel 3,Channel 8,Node RSSI (dBm),Base RSSI (dBm)
13/05/2014 08:29:00.101750000,193,-231.0293427,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:29:10.101750000,194,-231.8308411,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:29:20.101750000,195,-231.6304626,-18.86026955,48.25042343,25.20727539,-26,-69
13/05/2014 08:29:30.101750000,196,-231.4300842,-18.46321869,48.84857178,25.20727539,-26,-69
13/05/2014 08:29:40.101750000,197,-232.0312042,-18.06616974,47.85165787,25.20727539,-26,-69
13/05/2014 08:29:50.101750000,198,-231.0293427,-18.66174507,48.84857178,25.20727539,-26,-69
13/05/2014 08:30:00.101750000,199,-231.0293427,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:30:10.101750000,200,-231.2297211,-18.46321869,49.04795456,25.20727539,-26,-69
13/05/2014 08:30:20.101750000,201,-231.0293427,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:30:30.101750000,202,-231.0293427,-18.06616974,48.649189,25.20727539,-26,-69
13/05/2014 08:30:40.101750000,203,-230.4282227,-18.86026955,48.649189,25.20727539,-26,-69
13/05/2014 08:30:50.101750000,204,-230.6286011,-18.26469421,48.84857178,25.20727539,-26,-69
13/05/2014 08:31:00.101750000,205,-231.8308411,-18.26469421,48.84857178,25.20727539,-26,-69
13/05/2014 08:31:10.101750000,206,-231.6304626,-17.66911888,47.85165787,25.20727539,-26,-69
13/05/2014 08:31:20.101750000,207,-231.6304626,-17.66911888,48.84857178,25.20727539,-26,-69
13/05/2014 08:31:30.101750000,208,-231.4300842,-18.86026955,47.85165787,25.20727539,-26,-69
13/05/2014 08:31:40.101750000,209,-230.8289642,-18.66174507,48.05104065,25.20727539,-26,-69
13/05/2014 08:31:50.101750000,210,-231.2297211,-18.46321869,48.44980621,25.20727539,-26,-69
13/05/2014 08:32:00.101750000,211,-231.0293427,-18.86026955,48.649189,25.20727539,-26,-69
13/05/2014 08:32:10.101750000,212,-230.6286011,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:32:20.101750000,213,-230.8289642,-18.26469421,48.05104065,25.20727539,-26,-69
13/05/2014 08:32:30.101750000,214,-230.4282227,-18.66174507,48.05104065,25.20727539,-26,-69
13/05/2014 08:32:40.101750000,215,-231.0293427,-18.46321869,48.84857178,25.20727539,-26,-69
13/05/2014 08:32:50.101750000,216,-230.6286011,-18.26469421,48.44980621,25.20727539,-26,-69
13/05/2014 08:33:00.101750000,217,-231.0293427,-18.26469421,48.05104065,25.20727539,-26,-69
13/05/2014 08:33:10.101750000,218,-230.8289642,-18.46321869,48.44980621,25.20727539,-26,-69
13/05/2014 08:33:20.101750000,219,-230.8289642,-18.46321869,48.649189,25.20727539,-27,-69
13/05/2014 08:33:30.101750000,220,-230.6286011,-17.66911888,48.84857178,25.32446289,-26,-69
13/05/2014 08:33:40.101750000,221,-231.0293427,-18.46321869,48.25042343,25.20727539,-26,-69
13/05/2014 08:33:50.101750000,222,-230.2278442,-18.66174507,48.84857178,25.32446289,-26,-69
13/05/2014 08:34:00.101750000,223,-231.0293427,-19.05879402,48.649189,25.20727539,-26,-69
13/05/2014 08:34:10.101750000,224,-231.2297211,-18.26469421,48.649189,25.32446289,-26,-69
13/05/2014 08:34:20.101750000,225,-231.4300842,-18.06616974,48.05104065,25.20727539,-26,-69
13/05/2014 08:34:30.101750000,226,-231.4300842,-18.26469421,47.85165787,25.20727539,-26,-69
13/05/2014 08:34:40.101750000,227,-229.6267242,-18.26469421,48.05104065,25.32446289,-26,-69
13/05/2014 08:34:50.101750000,228,-230.4282227,-18.46321869,48.44980621,25.32446289,-26,-69
13/05/2014 08:35:00.101750000,229,-231.0293427,-18.66174507,48.25042343,25.32446289,-26,-69
13/05/2014 08:35:10.101750000,230,-231.0293427,-18.46321869,47.85165787,25.32446289,-26,-69
13/05/2014 08:35:20.101750000,231,-231.0293427,-18.86026955,48.44980621,25.32446289,-26,-69
13/05/2014 08:35:30.101750000,232,-231.4300842,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:35:40.101750000,233,-231.6304626,-19.05879402,48.05104065,25.20727539,-26,-69
13/05/2014 08:35:50.101750000,234,-231.0293427,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:36:00.101750000,235,-231.6304626,-18.86026955,47.85165787,25.32446289,-26,-69
